SeniorCitizen,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
0,0,-1.2774445836787656,0,2,0,0,0,1,-1.1603229160349193,2505,0
0,0,0.06632741908223598,2,0,2,0,1,0,-0.2596289419448806,1466,0
0,0,-1.2367242199587352,2,2,0,0,0,1,-0.3626603559551803,157,1
0,0,0.5142514200025698,2,0,2,2,1,0,-0.7465354629935549,1400,0
0,0,-1.2367242199587352,0,0,0,0,0,1,0.19736523310080326,925,1
0,0,-0.9924020376385531,0,0,2,0,0,1,1.1595456961969886,6104,1
0,1,-0.4223169455581282,0,2,0,0,0,1,0.8089065291619363,1550,0
0,0,-0.9109613101984924,2,0,0,0,0,0,-1.1636465100352518,2609,0
0,0,-0.1779947632379461,0,0,2,2,0,1,1.330710787214099,2646,1
0,1,1.2064976032430856,2,2,0,0,1,0,-0.28621769394753876,3022,0
0,1,-0.7888002190384014,2,0,0,0,0,1,-0.4922805219681379,4823,0
0,0,-0.6666391278783103,1,1,1,1,2,0,-1.5225946620711341,2836,0
0,0,1.0436161483629645,0,0,2,0,1,0,1.182810854199314,4693,0
0,0,0.6771328748826912,0,2,2,0,0,1,1.2941512532104444,4265,1
0,0,-0.30015585439803716,2,0,2,2,0,1,1.3539759452164248,2337,0
0,1,1.4915401492832983,2,2,2,2,2,0,1.611554480242174,5959,0
0,0,0.7992939660427822,1,1,1,1,1,0,-1.4660935640654862,46,0
0,1,1.5729808767233588,2,0,2,0,2,0,1.393859073220412,5704,0
0,1,-0.9109613101984924,0,0,2,2,0,0,-0.31779183695069496,4416,1
0,0,-0.46303730927815856,0,2,2,0,0,1,0.8404806721650927,1433,0
1,0,-1.2774445836787656,0,0,2,0,0,1,-0.8346107040023594,3340,1
0,0,-0.8295205827584317,1,1,1,1,1,0,-1.4943441130683104,1651,0
0,0,-1.2774445836787656,1,1,1,1,0,0,-1.4827115340671475,1609,1
0,0,1.0436161483629645,0,2,0,2,2,1,-0.1615829189350795,3041,0
0,1,0.6771328748826912,2,2,0,2,0,0,-0.17155370093607614,2567,0
